# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0009986	CC	e	cell surface	37/574	606/20670	7.681679442843804e-06	2	37	0.00125909709413158	933, 1368, 1410, 1604, 1902, 2263, 2346, 2861, 3249, 3306, 3673, 4155, 5046, 5154, 5365, 5663, 5796, 6272, 6422, 6900, 7018, 7039, 7103, 8633, 9341, 11141, 23555, 23621, 25932, 26585, 55248, 56650, 64399, 83986, 143903, 342035, 399687
GO:0048471	CC	e	perinuclear region of cytoplasm	40/574	699/20670	1.735868338696897e-05	2	40	0.002414654250366752	333, 347, 392, 991, 1267, 1785, 3673, 3799, 3916, 4336, 4650, 4864, 5337, 5663, 6272, 6285, 6696, 7018, 7039, 8502, 8871, 8898, 9026, 9053, 9341, 9625, 10397, 11076, 11145, 11155, 11226, 22933, 25780, 25932, 51673, 57467, 57698, 113451, 253832, 256987
GO:0016324	CC	e	apical plasma membrane	25/574	350/20670	1.7410152664873975e-05	4	25	0.002414654250366752	989, 2065, 3249, 4036, 4118, 5337, 5663, 5794, 5962, 6522, 6536, 6558, 6814, 7018, 9026, 22802, 28514, 56302, 56650, 57477, 134549, 140803, 283999, 286204, 338328
GO:0015630	CC	e	microtubule cytoskeleton	16/574	168/20670	1.9039326632972895e-05	6	16	0.002451993279946438	989, 1155, 1410, 5414, 7846, 9053, 10397, 10435, 23176, 25932, 56062, 57509, 57698, 84722, 151011, 163782
GO:0044291	CC	e	cell-cell contact zone	6/574	24/20670	3.924315485554137e-05	5	6	0.0046314372453725924	5101, 5818, 8502, 9414, 83700, 93377
GO:0005856	CC	e	cytoskeleton	28/574	435/20670	4.109983135106017e-05	5	28	0.0046314372453725924	274, 391, 1718, 2166, 2318, 3092, 3728, 3996, 4643, 6624, 8502, 8871, 9026, 9886, 10435, 11135, 11155, 23048, 23136, 23150, 29116, 29119, 54961, 57471, 57475, 65108, 85458, 163782
GO:0016020	CC	e	membrane	91/574	2152/20670	5.2615028769725585e-05	2	91	0.00539075739807519	20, 274, 323, 928, 950, 976, 1124, 1267, 1462, 1718, 1783, 1785, 2180, 2263, 2346, 3092, 3290, 3295, 3306, 3799, 3916, 3920, 3925, 3959, 3991, 4047, 4124, 4174, 4296, 4650, 4864, 5027, 5046, 5287, 5337, 5663, 5818, 6319, 6484, 6522, 6536, 6558, 8482, 8898, 9514, 9844, 10105, 10226, 10435, 10521, 10826, 22875, 23052, 23120, 23446, 23621, 25932, 25963, 29956, 51104, 51604, 54820, 54842, 54893, 55144, 55619, 57609, 57644, 63895, 64834, 65125, 79152, 79953, 79956, 79987, 84061, 84327, 85414, 93185, 114876, 117584, 127829, 154141, 158747, 161176, 221035, 253832, 256987, 347734, 348938, 399687
GO:0030426	CC	e	growth cone	13/574	127/20670	5.3817877518221536e-05	3	13	0.00539075739807519	322, 323, 1525, 1785, 5101, 5663, 6624, 8633, 9638, 22933, 25861, 57698, 81551
GO:0043025	CC	e	neuronal cell body	23/574	337/20670	7.528860062854297e-05	3	23	0.007039368241713431	134, 347, 3249, 3759, 4155, 4642, 5027, 5136, 5137, 5663, 6285, 6558, 6900, 8633, 9026, 9638, 10382, 23621, 25861, 57471, 80725, 85458, 92737
GO:0005887	CC	e	integral component of plasma membrane	65/574	1427/20670	7.808506091750895e-05	4	65	0.007039368241713431	134, 780, 928, 933, 976, 1133, 1318, 1525, 1902, 2065, 2263, 2346, 2861, 3249, 3732, 3759, 3916, 4099, 4815, 4864, 5027, 5101, 5364, 5365, 5638, 5663, 5789, 5794, 5796, 6536, 6558, 6579, 6856, 7103, 7869, 8482, 8549, 8612, 9514, 9723, 10165, 10507, 10512, 11322, 22802, 23114, 23555, 23621, 25780, 28232, 28514, 54207, 54910, 55144, 55248, 56302, 57556, 64399, 79905, 79953, 83700, 84061, 131096, 140803, 158747
GO:0033269	CC	e	internode region of axon	3/574	4/20670	8.345846371205938e-05	2	3	0.0071655052415639554	4155, 10382, 57471
GO:0005783	CC	e	endoplasmic reticulum	51/574	1047/20670	9.74579719934839e-05	5	51	0.007987123795647795	134, 175, 322, 323, 347, 666, 1718, 2180, 2861, 3293, 3433, 3638, 4036, 4118, 4864, 5046, 5287, 5653, 5663, 6319, 6713, 7368, 7444, 7869, 8612, 8985, 10351, 11145, 11322, 11342, 23120, 26022, 29956, 51114, 54463, 56895, 57458, 57467, 64714, 64834, 79152, 79956, 84061, 84899, 158747, 160335, 253832, 283999, 284119, 286827, 768206
GO:0005938	CC	e	cell cortex	14/574	158/20670	0.00013594640700334838	3	14	0.010602750840900257	391, 2246, 2263, 2770, 4642, 4650, 5663, 6624, 9026, 9886, 23048, 54443, 57471, 285527
GO:0005789	CC	e	endoplasmic reticulum membrane	48/574	983/20670	0.00014113478656772388	4	48	0.010602750840900257	391, 666, 745, 950, 1718, 2166, 2180, 2705, 2861, 3249, 3290, 3293, 3638, 4047, 5337, 5663, 6272, 6319, 6713, 6720, 7039, 7444, 8612, 8985, 9517, 10826, 11145, 11322, 11342, 23120, 26022, 29956, 51114, 51604, 55144, 55331, 56895, 57458, 57467, 64834, 79152, 79956, 93183, 154141, 158747, 160335, 221035, 286827
GO:0062023	CC	e	collagen-containing extracellular matrix	24/574	379/20670	0.00018828087215659183	4	24	0.013056554326859041	1287, 1298, 1299, 1302, 1307, 1462, 2263, 3959, 5046, 6422, 7058, 7077, 7869, 8482, 8728, 8985, 9507, 10085, 23452, 26585, 57642, 64856, 80781, 150356
GO:0016021	CC	e	integral component of membrane	133/574	3613/20670	0.0004327062493974364	3	133	0.028357807788379322	20, 333, 666, 745, 933, 950, 1718, 2123, 2166, 2180, 2263, 2696, 2705, 3249, 3792, 4036, 4118, 4122, 4124, 4162, 4340, 4864, 5010, 5376, 5663, 5796, 5818, 6272, 6319, 6484, 6522, 6713, 6720, 6856, 7039, 7368, 7444, 8291, 8612, 8633, 8728, 9144, 9341, 9517, 9625, 9725, 10351, 10826, 11046, 11141, 11145, 11226, 11342, 22875, 23308, 23446, 23621, 23632, 23671, 25963, 26022, 28513, 29956, 51090, 51114, 53637, 54842, 54933, 55144, 55281, 55314, 55331, 55356, 55652, 56650, 56895, 56996, 57165, 57406, 57458, 57467, 57556, 58473, 63895, 64849, 79152, 79602, 79633, 79789, 79956, 79957, 79962, 83986, 84899, 85414, 85445, 92737, 93183, 93185, 93377, 115584, 116173, 118442, 121227, 121601, 124222, 128218, 134285, 135924, 135932, 143903, 154141, 154215, 160335, 161176, 170371, 219699, 221035, 222223, 256227, 256472, 256987, 283999, 285195, 286204, 286827, 342035, 342865, 347734, 348938, 643008, 643965, 100130933
GO:0031105	CC	e	septin complex	4/574	14/20670	0.0004718437236003215	2	4	0.028357807788379322	989, 5414, 23176, 151011
GO:0032153	CC	e	cell division site	4/574	14/20670	0.0004718437236003215	2	4	0.028357807788379322	989, 5414, 23176, 151011
GO:0005940	CC	e	septin ring	4/574	14/20670	0.0004718437236003215	7	4	0.028357807788379322	989, 5414, 23176, 151011
GO:0015629	CC	e	actin cytoskeleton	17/574	247/20670	0.0005743468540568231	6	17	0.03241994362865094	274, 1073, 1495, 2934, 3728, 4642, 4643, 4650, 6624, 7456, 25932, 54443, 57477, 57584, 80725, 83543, 118611
GO:0005902	CC	e	microvillus	8/574	68/20670	0.0005753955607969108	5	8	0.03241994362865094	1267, 4642, 4643, 5154, 5962, 6624, 25932, 83700
GO:0010008	CC	e	endosome membrane	16/574	226/20670	0.0006089457769736067	6	16	0.03327058290555796	20, 392, 950, 3916, 6272, 7018, 9886, 10226, 23621, 25777, 51104, 55652, 58480, 89853, 117584, 118442
GO:0033268	CC	e	node of Ranvier	4/574	15/20670	0.0006293567851998261	2	4	0.033374420109273134	274, 6695, 6900, 23114
GO:0030669	CC	e	clathrin-coated endocytic vesicle membrane	8/574	70/20670	0.0007001456814103058	8	8	0.03606750467379375	928, 950, 4036, 7018, 7039, 9341, 26119, 143425
GO:0005925	CC	e	focal adhesion	24/574	419/20670	0.0008024650342095074	5	24	0.040190123796659497	391, 928, 950, 976, 1465, 1495, 1785, 2318, 2934, 3673, 3728, 4162, 5962, 6522, 9448, 10278, 11135, 23114, 57477, 58480, 58504, 83543, 85458, 143903
GO:0055037	CC	e	recycling endosome	11/574	128/20670	0.0008944747784059637	8	11	0.04358751420178251	933, 1318, 7018, 7846, 9341, 23232, 23621, 26119, 51421, 79628, 285195
GO:0005654	CC	p	nucleoplasm	58/574	3808/20670	2.954403681448077e-08	2	58	1.775596612550294e-05	322, 333, 745, 991, 1027, 1410, 1525, 1849, 2246, 3231, 3344, 3792, 3988, 4174, 4678, 4821, 5287, 5305, 5414, 5435, 5455, 5629, 5663, 6050, 6285, 6299, 6663, 6720, 7716, 8549, 9134, 9414, 9467, 9516, 9770, 9771, 9839, 10110, 10420, 10521, 11221, 11342, 23149, 23446, 28984, 28996, 51433, 51523, 54443, 55357, 55619, 55793, 55806, 57477, 84722, 117584, 118611, 284119
GO:0005634	CC	p	nucleus	114/574	5514/20670	0.0001507667892398905	5	114	0.010873300839980903	274, 322, 323, 443, 666, 745, 825, 989, 1027, 1028, 1393, 1410, 1465, 1718, 1785, 2246, 2263, 2770, 2934, 3092, 3231, 3300, 3306, 3344, 3673, 3728, 4155, 4162, 4174, 4678, 4752, 4784, 4821, 5129, 5414, 5435, 5455, 5629, 5663, 6285, 6299, 6663, 6720, 6888, 7039, 7298, 7444, 7716, 7846, 7942, 8073, 8502, 8728, 8898, 9134, 9414, 9444, 9516, 9586, 9670, 9679, 9705, 9745, 9770, 9771, 9839, 10215, 10382, 10397, 10420, 10521, 10655, 11076, 11221, 11240, 22858, 22903, 22933, 23148, 23239, 23287, 23604, 27296, 28984, 28996, 30812, 51433, 51523, 54961, 55323, 55619, 56978, 57060, 57509, 57609, 58476, 58504, 64077, 64399, 79885, 79987, 80345, 84504, 89853, 90861, 113451, 116362, 116448, 117283, 118738, 125061, 221184, 284119, 399687
GO:0051015	MF	e	actin filament binding	23/574	214/20670	3.313737049967976e-08	5	23	0.00014673227657258198	274, 1073, 1495, 2318, 2934, 3092, 4642, 4643, 5358, 6624, 9026, 29119, 57471, 57477, 57644, 57698, 65108, 79789, 83543, 114793, 134549, 161176, 399687
GO:0030215	MF	e	semaphorin receptor binding	8/574	23/20670	1.1430932753448053e-07	4	8	0.0002530808511613399	5364, 7869, 8482, 9723, 10507, 10512, 54910, 57556
GO:0045159	MF	e	myosin II binding	5/574	10/20670	3.6436824105680714e-06	5	5	0.005378075237998474	2934, 3993, 3996, 57477, 134549
GO:0045499	MF	e	chemorepellent activity	7/574	28/20670	8.750104268978574e-06	5	7	0.00968636542575928	7869, 8482, 9723, 10507, 10512, 54910, 57556
GO:0005515	MF	e	protein binding	394/574	12517/20670	5.433344011727991e-05	2	394	0.04811769456786309	134, 175, 272, 274, 322, 323, 333, 347, 391, 392, 443, 590, 666, 760, 780, 825, 928, 933, 950, 976, 989, 991, 1027, 1028, 1073, 1124, 1133, 1155, 1267, 1298, 1302, 1307, 1318, 1373, 1393, 1410, 1462, 1465, 1495, 1525, 1604, 1718, 1781, 1785, 1849, 1902, 2065, 2123, 2166, 2246, 2263, 2318, 2342, 2549, 2696, 2705, 2770, 2819, 2861, 2934, 3092, 3249, 3300, 3306, 3344, 3433, 3628, 3638, 3673, 3728, 3732, 3759, 3792, 3799, 3916, 3920, 3925, 3959, 3991, 3993, 3996, 4036, 4047, 4118, 4155, 4174, 4296, 4336, 4643, 4650, 4678, 4752, 4784, 4815, 4821, 4864, 5010, 5027, 5046, 5129, 5154, 5287, 5305, 5337, 5354, 5364, 5365, 5376, 5414, 5588, 5629, 5638, 5653, 5663, 5789, 5794, 5796, 5818, 5962, 6035, 6050, 6242, 6272, 6285, 6299, 6319, 6422, 6457, 6558, 6624, 6663, 6695, 6696, 6713, 6720, 6814, 6856, 6888, 6900, 7018, 7039, 7058, 7077, 7103, 7444, 7456, 7681, 7716, 7846, 7942, 8073, 8291, 8482, 8495, 8502, 8549, 8612, 8633, 8728, 8871, 8898, 8985, 9026, 9053, 9134, 9138, 9144, 9267, 9341, 9363, 9414, 9444, 9448, 9467, 9507, 9516, 9586, 9625, 9638, 9670, 9717, 9723, 9725, 9728, 9738, 9765, 9770, 9839, 9844, 9846, 9886, 10105, 10215, 10226, 10278, 10382, 10397, 10420, 10435, 10507, 10521, 10655, 10826, 11076, 11135, 11141, 11145, 11155, 11221, 11226, 11322, 11342, 22858, 22875, 22903, 22905, 22933, 23048, 23052, 23114, 23120, 23127, 23136, 23148, 23149, 23176, 23187, 23239, 23258, 23303, 23308, 23321, 23452, 23500, 23555, 23604, 23621, 23671, 24139, 25777, 25780, 25861, 25932, 26022, 26118, 26119, 26585, 27296, 28514, 28984, 28996, 29116, 29119, 29956, 30850, 51090, 51114, 51125, 51148, 51228, 51421, 51604, 53637, 54463, 54820, 54842, 54910, 54941, 54961, 55144, 55182, 55223, 55248, 55281, 55314, 55323, 55357, 55619, 55652, 55793, 55806, 55861, 56302, 56650, 56895, 56978, 57188, 57406, 57458, 57467, 57471, 57556, 57580, 57584, 57644, 57698, 58473, 58476, 58480, 58504, 60484, 64077, 64093, 64399, 64714, 64798, 64834, 64849, 65108, 65125, 79152, 79602, 79633, 79885, 79899, 79953, 79956, 79957, 79962, 80005, 80345, 80725, 83700, 84188, 84445, 84628, 84722, 84938, 85377, 85458, 89853, 91369, 92737, 93185, 93643, 94015, 94235, 113451, 114792, 114876, 115584, 116173, 116362, 116448, 117283, 117584, 118442, 118738, 121227, 122060, 125061, 127829, 133022, 133121, 134285, 135932, 140803, 143425, 151011, 151647, 158747, 159195, 160335, 161176, 162681, 163782, 219287, 219699, 220108, 220965, 221035, 221184, 222166, 255394, 256227, 284119, 285195, 285527, 286204, 286262, 286343, 286827, 338328, 338382, 347734, 348938, 388403, 388969, 399687, 399694, 400961, 404093, 494514, 643008
GO:0019911	MF	e	structural constituent of myelin sheath	4/574	9/20670	6.635466444432685e-05	2	4	0.048969742359913214	4118, 4155, 5354, 51090
