# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0097545	CC	e	axonemal outer doublet	2/308	2/20670	0.00022132432588656154	2	2	0.021002513661761604	348807, 387885
GO:0005634	CC	p	nucleus	45/308	5514/20670	4.703499539490836e-07	5	45	6.523392053616906e-05	301, 2070, 2239, 2302, 2348, 3664, 4015, 4057, 4117, 4496, 4929, 6424, 6932, 7546, 9576, 25790, 26150, 26166, 26206, 26292, 26298, 27285, 79858, 83659, 83879, 84107, 84962, 85416, 128344, 128553, 132851, 150483, 153643, 171024, 201798, 220388, 225689, 252884, 255119, 282890, 283078, 339778, 375307, 647309, 102724560
GO:0005654	CC	p	nucleoplasm	27/308	3808/20670	2.5482800775021773e-06	2	27	0.00032818206998117325	301, 3174, 3664, 4929, 5241, 5648, 5822, 6932, 7546, 9620, 23118, 24137, 25790, 26292, 26298, 51473, 55013, 55214, 79858, 83879, 84962, 124739, 151246, 171024, 200403, 345895, 375298
GO:0005730	CC	p	nucleolus	3/308	1308/20670	4.961094459415809e-06	5	3	0.0005963235540217802	79858, 345895, 375298
GO:0005829	CC	p	cytosol	48/308	5301/20670	2.3592233540080802e-05	2	48	0.0026585498170478552	301, 395, 761, 960, 1610, 2766, 3174, 3664, 5239, 5241, 5493, 5648, 5774, 5996, 6674, 8908, 9182, 9244, 9940, 10345, 10788, 23118, 24137, 26166, 51473, 55214, 56171, 79841, 81493, 81578, 83879, 84223, 84962, 91807, 92749, 93663, 117245, 122481, 123872, 151246, 171024, 192668, 200403, 201456, 286207, 374407, 375298, 102724560
GO:0005739	CC	p	mitochondrion	5/308	1326/20670	9.239089719645262e-05	5	5	0.009254488202511338	26292, 55013, 89876, 112817, 132671
GO:0016020	CC	p	membrane	14/308	2152/20670	0.00031346681169168255	2	14	0.02825903307400518	948, 2153, 2348, 2591, 5493, 7098, 24137, 26206, 79649, 81615, 84171, 116443, 146802, 100133941
GO:0045505	MF	e	dynein intermediate chain binding	10/308	36/20670	8.417256865084186e-11	3	10	1.8893614998802884e-07	1767, 1770, 8701, 55567, 56171, 83657, 139212, 146754, 196385, 200132
GO:0008569	MF	e	minus-end-directed microtubule motor activity	8/308	18/20670	8.533701444807083e-11	3	8	1.8893614998802884e-07	1767, 1770, 8701, 55567, 56171, 146754, 196385, 201625
GO:0051959	MF	e	dynein light intermediate chain binding	7/308	27/20670	1.0477822545429181e-07	3	7	0.00015465266077053472	1767, 1770, 8701, 55567, 56171, 146754, 196385
GO:0070840	MF	e	dynein complex binding	5/308	24/20670	2.395345023002353e-05	3	5	0.02121317552370884	123872, 146562, 286187, 348807, 387885
GO:0045504	MF	e	dynein heavy chain binding	4/308	14/20670	4.3013437899846846e-05	3	4	0.03174391717008697	7802, 27019, 64446, 126820
GO:0003723	MF	p	RNA binding	3/308	1399/20670	1.6513906859423252e-06	4	3	0.001828089489338154	5822, 79730, 255101
