# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006406	BP	e	mRNA export from nucleus	19/2534	48/20670	1.5002141340974241e-06	9	19	0.0006665772872252162	2733, 4927, 5976, 8021, 8480, 8563, 9631, 9887, 10212, 10482, 23049, 23279, 23293, 26019, 29890, 55421, 57187, 79228, 79902
GO:0051301	BP	e	cell division	72/2534	348/20670	7.02967395497323e-06	2	72	0.0026501870810249077	382, 595, 896, 904, 905, 994, 1019, 1060, 3980, 4750, 5586, 6787, 7013, 7329, 7756, 7813, 8243, 8480, 8607, 8697, 8881, 8900, 9024, 9113, 9183, 9564, 9577, 9903, 9918, 10274, 10296, 10459, 10592, 10713, 11064, 23126, 23137, 23141, 23172, 23276, 23331, 23383, 23552, 27183, 27338, 27436, 29882, 51343, 51434, 51490, 51550, 53918, 54617, 54888, 55660, 55844, 55920, 57553, 63971, 79184, 79187, 79441, 79892, 84790, 84861, 84936, 91603, 91754, 115098, 148479, 163859, 387893
GO:0032456	BP	e	endocytic recycling	19/2534	53/20670	8.425813360267675e-06	6	19	0.0030831042357379454	382, 6293, 7260, 9230, 10311, 10938, 11021, 23163, 23527, 25930, 28952, 30845, 54520, 54918, 57182, 57724, 79778, 84079, 253725
GO:1905168	BP	e	positive regulation of double-strand break repair via homologous recombination	15/2534	37/20670	1.3464591532896578e-05	10	15	0.004653138423910175	2074, 2521, 6944, 8295, 8607, 10856, 10902, 23126, 26122, 55929, 57634, 64210, 80314, 84717, 196528
GO:0080009	BP	e	mRNA methylation	9/2534	15/20670	1.540080200196531e-05	9	9	0.005173948770814756	9589, 23070, 25962, 51605, 54888, 57721, 63935, 79066, 79872
GO:0090043	BP	e	regulation of tubulin deacetylation	8/2534	12/20670	1.5803396293783516e-05	9	8	0.005173948770814756	2033, 2648, 6871, 11091, 51562, 55689, 57325, 112869
GO:0001889	BP	e	liver development	22/2534	71/20670	2.4566245800554625e-05	5	22	0.007584987764049878	382, 445, 1050, 2671, 3482, 3720, 3725, 4851, 5253, 5290, 5310, 5469, 5970, 6648, 6670, 10370, 11231, 23705, 25807, 26019, 80279, 84159
GO:0050790	BP	e	regulation of catalytic activity	77/2534	393/20670	2.4996744500124184e-05	3	77	0.007584987764049878	663, 823, 889, 1019, 1936, 1967, 3257, 3268, 3725, 5476, 5519, 5523, 5565, 5610, 5863, 6002, 6446, 6648, 6904, 7204, 7862, 8498, 8546, 8786, 8818, 8890, 8891, 8892, 8893, 9093, 9265, 9266, 9329, 9459, 9605, 9649, 9815, 9826, 9901, 10113, 22894, 23075, 23141, 23263, 23527, 23677, 26269, 26286, 27147, 28988, 50618, 50650, 54545, 55160, 55589, 55667, 55701, 55738, 55844, 60626, 79184, 80728, 81554, 81669, 84079, 84315, 84988, 85442, 89781, 90627, 115557, 115703, 116988, 192111, 221178, 285590, 414918
GO:0016575	BP	e	histone deacetylation	17/2534	48/20670	2.9906133381660485e-05	9	17	0.008858623938124716	3065, 6907, 9112, 10013, 10014, 11176, 23186, 23309, 23410, 25855, 25942, 51564, 53615, 54815, 57459, 91748, 283248
GO:0032922	BP	e	circadian regulation of gene expression	21/2534	69/20670	5.021426991101625e-05	6	21	0.013882571821398959	1453, 1454, 3065, 3399, 4297, 5187, 5927, 6095, 8841, 8863, 8864, 9099, 9112, 9572, 10135, 10514, 10743, 22992, 25819, 55366, 148523
GO:1901796	BP	e	regulation of signal transduction by p53 class mediator	15/2534	41/20670	5.64941547718718e-05	7	15	0.014954122968443768	207, 2033, 4839, 6446, 6872, 7994, 8805, 9099, 9816, 9891, 23212, 29997, 55170, 90809, 387893
GO:0006886	BP	e	intracellular protein transport	50/2534	233/20670	7.320040162223256e-05	6	50	0.018612034045579217	160, 161, 382, 2054, 5476, 5878, 6810, 6811, 8546, 8677, 8907, 8934, 9392, 9463, 10013, 10139, 10239, 10311, 10427, 10802, 10938, 11018, 11158, 11196, 11276, 11311, 22872, 23011, 23062, 23086, 23163, 23647, 25924, 26276, 26286, 26958, 53407, 55823, 57537, 57589, 57617, 63894, 63971, 64374, 64601, 65057, 83548, 91949, 152579, 157769
GO:0034720	BP	e	histone H3-K4 demethylation	6/2534	8/20670	7.578790621715538e-05	11	6	0.018612034045579217	5927, 8242, 10765, 79697, 84864, 221656
GO:0071169	BP	e	establishment of protein localization to chromatin	6/2534	8/20670	7.578790621715538e-05	8	6	0.018612034045579217	9555, 10856, 25836, 55506, 112869, 222229
GO:0000289	BP	e	nuclear-transcribed mRNA poly(A) tail shortening	8/2534	14/20670	7.629722179282534e-05	10	8	0.018612034045579217	4848, 5073, 9924, 55095, 57472, 79670, 154197, 246175
GO:0034644	BP	e	cellular response to UV	17/2534	52/20670	9.553728170135627e-05	7	17	0.022791300256058186	578, 581, 1387, 2033, 2072, 6609, 6872, 9683, 10856, 22890, 26155, 54617, 54929, 56160, 83695, 163859, 440275
GO:0051726	BP	e	regulation of cell cycle	49/2534	229/20670	9.709339390491792e-05	4	49	0.022791300256058186	25, 578, 581, 1019, 1459, 1647, 2648, 3399, 3725, 4193, 4798, 5310, 5496, 5546, 5566, 6871, 6944, 7248, 7249, 8021, 8295, 8607, 8864, 9238, 10856, 10902, 11091, 11143, 23338, 23481, 23552, 26122, 26959, 29997, 51562, 51755, 54617, 54891, 55689, 55787, 55929, 57325, 57634, 79913, 79960, 80314, 112869, 115426, 283899
GO:0007040	BP	e	lysosome organization	15/2534	43/20670	0.00010626949517414631	7	15	0.02448331091595471	53, 411, 1130, 2055, 2548, 2629, 2896, 3074, 3257, 8546, 8720, 51172, 57617, 84067, 89781
GO:0006302	BP	e	double-strand break repair	20/2534	68/20670	0.00012768007749914498	8	20	0.027867856915208118	2140, 2237, 3014, 3980, 5536, 7468, 9112, 9577, 10038, 10039, 10459, 23347, 51588, 54617, 79184, 79913, 80198, 85456, 165918, 254225
GO:0060261	BP	e	positive regulation of transcription initiation from RNA polymerase II promoter	13/2534	35/20670	0.0001469131113184512	12	13	0.03135194561952162	2067, 2074, 5469, 6722, 6872, 6878, 6881, 6908, 9282, 9862, 9968, 10025, 83860
GO:0071763	BP	e	nuclear membrane organization	5/2534	6/20670	0.0001486829669280424	5	5	0.03135194561952162	1861, 2010, 26092, 27348, 79188
GO:0030433	BP	e	ubiquitin-dependent ERAD pathway	22/2534	78/20670	0.0001557203000173395	10	22	0.031889383509133166	7327, 7706, 7844, 9695, 10277, 10613, 10869, 11160, 11253, 23197, 54431, 54788, 55139, 55298, 55432, 55666, 55829, 79089, 79139, 80020, 84447, 118424
GO:0007049	BP	e	cell cycle	59/2534	296/20670	0.00015635820223913857	2	59	0.031889383509133166	382, 902, 904, 905, 1459, 2033, 3054, 3980, 4176, 4750, 5546, 5586, 6598, 6872, 7014, 7813, 8099, 8480, 8607, 9099, 9589, 9903, 10197, 10296, 10713, 11011, 11064, 11186, 22846, 23276, 23331, 23552, 23708, 27301, 29882, 51490, 51550, 53918, 54790, 54957, 55198, 55626, 55660, 55665, 55749, 55787, 55920, 57553, 57795, 60370, 63971, 79187, 79577, 83695, 91754, 115098, 115426, 415116, 440275
GO:0032007	BP	e	negative regulation of TOR signaling	12/2534	31/20670	0.00016673967755265773	8	12	0.033458198845687334	2021, 2931, 4534, 5562, 7248, 7249, 10641, 23677, 55654, 84335, 197131, 201163
GO:0035329	BP	e	hippo signaling	9/2534	19/20670	0.00017920651973442762	6	9	0.034836067375250225	6789, 7003, 8642, 9113, 10413, 25937, 55233, 92597, 154810
GO:0050775	BP	e	positive regulation of dendrite morphogenesis	9/2534	19/20670	0.00017920651973442762	10	9	0.034836067375250225	1523, 9820, 23011, 23363, 26039, 29882, 56965, 79791, 84079
GO:0031063	BP	e	regulation of histone deacetylation	7/2534	12/20670	0.00018623045679876349	9	7	0.03564450943128333	2648, 6871, 11091, 51562, 55689, 57325, 112869
GO:0006914	BP	e	autophagy	32/2534	135/20670	0.00018926723051069727	4	32	0.03567687295126644	25, 411, 1611, 2629, 4218, 4943, 5562, 9392, 9711, 9895, 9919, 10013, 10533, 11152, 23192, 23274, 25851, 29919, 51399, 54828, 55201, 55626, 55823, 56834, 57617, 79643, 79735, 81846, 84971, 90678, 91782, 140775
GO:0034340	BP	e	response to type I interferon	6/2534	9/20670	0.00020363766349556679	5	6	0.03781277867982606	4599, 6472, 6609, 9636, 55337, 81844
GO:1901837	BP	e	negative regulation of transcription of nucleolar large rRNA by RNA polymerase I	4/2534	4/20670	0.00022540410062712101	12	4	0.04064133936089873	9191, 9555, 29997, 55506
GO:1904872	BP	e	regulation of telomerase RNA localization to Cajal body	4/2534	4/20670	0.00022540410062712101	4	4	0.04064133936089873	1736, 5073, 5394, 167227
GO:0034394	BP	e	protein localization to cell surface	12/2534	32/20670	0.00023719311266421673	5	12	0.042155993066507434	382, 2316, 6810, 7414, 8546, 10516, 23062, 23163, 23184, 57154, 79608, 128869
GO:0007030	BP	e	Golgi organization	30/2534	123/20670	0.0002486147235220929	5	30	0.04319961738114736	1453, 2801, 3998, 5587, 8934, 9183, 9321, 9820, 9919, 10466, 10565, 11018, 11196, 23363, 25839, 26003, 27314, 51112, 54808, 54828, 55204, 55361, 55666, 55968, 57198, 79659, 83548, 91949, 128637, 400451
GO:0010508	BP	e	positive regulation of autophagy	19/2534	66/20670	0.0002540324711655518	7	19	0.04319961738114736	1634, 2021, 2931, 5562, 5587, 5987, 6093, 10641, 11040, 11043, 22926, 22954, 23677, 53373, 55128, 55626, 94103, 201163, 201292
GO:0006366	BP	e	transcription by RNA polymerase II	33/2534	142/20670	0.00025645857529057114	10	33	0.04319961738114736	409, 865, 902, 904, 905, 1840, 2068, 2071, 2074, 4152, 4782, 4790, 4799, 5437, 6872, 6878, 6881, 6908, 7027, 8544, 8805, 9188, 9321, 10025, 10725, 25819, 26015, 29777, 51043, 57661, 58506, 79724, 115098
GO:0043982	BP	e	histone H4-K8 acetylation	8/2534	16/20670	0.0002604269193461982	13	8	0.04319961738114736	3054, 11091, 11143, 23338, 55683, 79960, 84148, 284058
GO:0043981	BP	e	histone H4-K5 acetylation	8/2534	16/20670	0.0002604269193461982	13	8	0.04319961738114736	3054, 11091, 11143, 23338, 55683, 79960, 84148, 284058
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	0/2534	432/20670	3.223662060974566e-25	5	0	2.137421992505087e-21	
GO:0035195	BP	p	gene silencing by miRNA	6/2534	579/20670	3.4360935495620723e-25	9	6	2.137421992505087e-21	9337, 23112, 27327, 57472, 57690, 81571
GO:0007186	BP	p	G protein-coupled receptor signaling pathway	28/2534	921/20670	5.157548303228243e-24	5	28	2.138835281348752e-20	156, 207, 1609, 1889, 2840, 2870, 3482, 3643, 3717, 5159, 5332, 6002, 7289, 8786, 9213, 9564, 9826, 11214, 11245, 23266, 51763, 54328, 55970, 60626, 131601, 166647, 221395, 284339
GO:0006955	BP	p	immune response	8/2534	422/20670	4.5467931486112065e-15	2	8	1.2831759991572508e-11	563, 3480, 4851, 5272, 5871, 9567, 25939, 220972
GO:0002250	BP	p	adaptive immune response	11/2534	402/20670	9.527863629028433e-12	3	11	1.6933735915534675e-08	1445, 3717, 6494, 7248, 10411, 28988, 51752, 57192, 81545, 220972, 440275
