# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	121/1302	1146/20670	1.9457206202889404e-08	11	121	1.7290507312153365e-05	94, 182, 429, 602, 607, 654, 958, 1051, 1052, 1316, 1440, 1488, 1601, 1906, 2004, 2078, 2113, 2114, 2120, 2122, 2294, 2295, 2296, 2313, 2354, 2355, 2852, 3096, 3164, 3280, 3428, 3481, 3491, 3553, 3659, 3665, 4041, 4487, 4609, 4776, 4791, 4792, 4854, 5080, 5326, 5359, 5396, 5465, 5916, 5966, 5990, 5992, 6239, 6256, 6423, 6556, 6608, 6665, 6774, 6926, 6934, 7004, 7005, 7026, 7040, 7071, 7097, 7132, 7157, 7476, 7545, 7704, 8463, 8692, 8737, 9314, 9457, 9592, 10062, 10272, 10365, 10865, 10891, 11107, 11166, 11278, 22809, 22904, 23764, 25865, 26108, 26508, 28999, 29028, 29109, 29842, 29950, 51085, 51176, 51222, 54345, 55079, 55840, 55893, 56963, 57567, 57817, 63976, 64651, 64900, 79155, 79759, 80149, 84166, 84441, 84662, 84922, 85441, 169792, 201501, 388585
GO:0007156	BP	e	homophilic cell adhesion via plasma membrane adhesion molecules	30/1302	167/20670	1.7552236638774445e-07	5	30	0.00014557825068199526	1003, 1008, 5175, 5819, 23022, 26025, 26167, 54510, 54538, 54798, 56098, 56099, 56100, 56101, 56102, 56103, 56104, 56105, 56106, 56107, 56108, 56109, 56110, 56111, 56112, 56113, 57526, 64403, 84966, 90952
GO:0035924	BP	e	cellular response to vascular endothelial growth factor stimulus	12/1302	33/20670	3.8104508770167876e-07	6	12	0.0002743796172986223	2321, 3164, 3315, 3791, 4495, 5606, 8829, 9261, 10266, 25865, 54567, 407010
GO:0019221	BP	e	cytokine-mediated signaling pathway	27/1302	146/20670	3.9162712195073356e-07	6	27	0.0002743796172986223	1439, 1440, 2057, 3553, 3566, 3570, 3587, 3588, 3597, 3654, 3718, 3953, 5355, 6347, 6774, 6776, 7132, 8322, 9180, 9466, 10148, 11213, 53832, 54756, 55540, 84818, 163702
GO:0030198	BP	e	extracellular matrix organization	28/1302	155/20670	3.969803963809341e-07	5	28	0.0002743796172986223	602, 1278, 1282, 1284, 1286, 1290, 2006, 2192, 2199, 2294, 2295, 2683, 3491, 4313, 4323, 4324, 4791, 7982, 25890, 55790, 56999, 64116, 79148, 81794, 83716, 151887, 169611, 170691
GO:0007165	BP	e	signal transduction	112/1302	1104/20670	5.658138945889964e-07	4	112	0.00037048898224114235	94, 114, 133, 148, 285, 355, 726, 728, 834, 947, 1017, 1192, 1439, 1490, 1796, 1890, 1893, 1908, 1909, 2004, 2057, 2064, 2078, 2669, 2791, 2919, 3164, 3485, 3487, 3491, 3553, 3566, 3576, 3588, 3613, 4055, 4059, 4163, 4192, 4615, 4739, 4828, 4935, 5139, 5144, 5175, 5293, 5592, 5606, 5613, 5754, 5829, 6300, 6320, 6347, 6387, 6452, 6774, 7046, 7075, 7076, 7090, 7097, 7205, 7410, 7424, 7867, 8412, 8741, 8742, 8743, 8793, 8797, 8829, 8862, 9064, 9173, 9235, 9322, 9536, 9630, 9754, 10144, 10392, 10457, 10673, 29941, 29948, 51285, 51293, 51655, 51816, 54567, 54922, 55698, 64167, 64411, 79990, 84435, 85360, 85415, 115677, 123920, 143872, 148932, 152189, 169611, 260425, 283349, 284207, 286077, 644943
GO:0016477	BP	e	cell migration	38/1302	256/20670	7.884730151196279e-07	4	38	0.0004904696390551646	389, 390, 1490, 1969, 2013, 2049, 2260, 2296, 2321, 3280, 3691, 3791, 3909, 4313, 4739, 5293, 5420, 5754, 6615, 7040, 7042, 7049, 7057, 7128, 7410, 8994, 10082, 10319, 11117, 23022, 23237, 55616, 57381, 64285, 83666, 85360, 161198, 340719
GO:0051216	BP	e	cartilage development	15/1302	56/20670	1.2594096419524332e-06	4	15	0.0007461102550252486	654, 1116, 1906, 2121, 3373, 5396, 6660, 7076, 7704, 8692, 55553, 55790, 353500, 388585, 389084
GO:0006915	BP	e	apoptotic process	64/1302	544/20670	1.5346906992862973e-06	4	64	0.0008418676327623988	148, 330, 355, 596, 839, 843, 1075, 1116, 1263, 1512, 1601, 2122, 3164, 3486, 3553, 3659, 4055, 4615, 4616, 4792, 5074, 5292, 5359, 5366, 5552, 6279, 6280, 6423, 7046, 7097, 7128, 7704, 8462, 8737, 8739, 8742, 8743, 8793, 8795, 8797, 8870, 9262, 9274, 9423, 10018, 10312, 10392, 10912, 23645, 25959, 51330, 54541, 55240, 55332, 55840, 56658, 56892, 64651, 79155, 80149, 84674, 220441, 255488, 260425
GO:0001569	BP	e	branching involved in blood vessel morphogenesis	11/1302	31/20670	1.5563825700132765e-06	7	11	0.0008418676327623988	1282, 1906, 1909, 3791, 4776, 4855, 6423, 8829, 51176, 54567, 441478
GO:2001238	BP	e	positive regulation of extrinsic apoptotic signaling pathway	10/1302	26/20670	1.9889690106622675e-06	9	10	0.001031031810902053	2852, 4055, 5371, 8692, 8737, 8742, 8743, 8915, 50486, 51330
GO:0060070	BP	e	canonical Wnt signaling pathway	17/1302	73/20670	2.1212938112457594e-06	8	17	0.0010556406522283397	607, 1906, 1909, 2535, 4041, 5916, 6423, 6934, 7476, 8321, 8322, 8323, 8324, 8325, 9314, 26108, 51176
GO:0045071	BP	e	negative regulation of viral genome replication	13/1302	45/20670	2.533922224209847e-06	6	13	0.0011912966010263523	684, 3428, 4939, 4940, 5359, 8519, 10410, 10581, 56829, 63901, 64135, 84875, 388419
GO:0001570	BP	e	vasculogenesis	15/1302	59/20670	2.58540376398292e-06	4	15	0.0011912966010263523	133, 187, 1969, 2294, 3791, 6608, 7040, 7075, 8322, 8463, 10052, 10266, 54345, 54922, 57007
GO:0043065	BP	e	positive regulation of apoptotic process	41/1302	302/20670	3.4617315909752414e-06	7	41	0.0015381215258329635	133, 355, 604, 839, 1545, 1852, 2683, 2852, 3162, 3164, 3486, 3491, 4170, 4313, 4616, 5074, 5366, 5916, 6423, 7052, 7157, 7704, 8462, 8737, 8739, 8743, 8795, 8797, 8915, 9262, 10018, 10912, 26524, 29948, 51063, 51330, 51776, 79845, 92565, 196527, 407010
GO:0051092	BP	e	positive regulation of NF-kappaB transcription factor activity	26/1302	154/20670	3.7935088449169433e-06	12	26	0.0016274152944693687	958, 1491, 3303, 3304, 3553, 3556, 3654, 4615, 6279, 6280, 6283, 6737, 6774, 7097, 8737, 8915, 9830, 10346, 10392, 10475, 10892, 11213, 25865, 64170, 85363, 114769
GO:0043536	BP	e	positive regulation of blood vessel endothelial cell migration	13/1302	47/20670	4.338596141187106e-06	10	13	0.0017992158197502927	958, 2113, 2260, 3315, 3791, 4846, 5606, 6776, 7040, 7057, 7424, 25865, 406913
GO:0071356	BP	e	cellular response to tumor necrosis factor	23/1302	128/20670	4.627354026485249e-06	6	23	0.001857061659467838	958, 1116, 1535, 1545, 1906, 2633, 2634, 2635, 2852, 3280, 3373, 3576, 5106, 6347, 6517, 7057, 7538, 8531, 8692, 8737, 10365, 57817, 80149
GO:0030308	BP	e	negative regulation of cell growth	22/1302	120/20670	5.277822999491437e-06	6	22	0.0020484271700734386	94, 596, 604, 684, 1026, 1601, 3303, 3304, 3373, 3621, 4487, 5371, 6423, 7040, 7042, 7157, 8692, 29946, 29948, 55840, 58189, 203245
GO:0071260	BP	e	cellular response to mechanical stimulus	16/1302	70/20670	5.451667230033205e-06	5	16	0.0020484271700734386	355, 654, 834, 958, 1265, 1535, 3553, 3659, 4055, 4615, 7132, 8795, 8797, 8915, 9531, 50848
GO:0061304	BP	e	retinal blood vessel morphogenesis	5/1302	6/20670	5.598145147696882e-06	5	5	0.0020484271700734386	1282, 1545, 4041, 8322, 284217
GO:0060337	BP	e	type I interferon signaling pathway	8/1302	18/20670	6.005070077356105e-06	7	8	0.0021345450523539227	3654, 3665, 4615, 4939, 6672, 8519, 10410, 10581
GO:0001938	BP	e	positive regulation of endothelial cell proliferation	16/1302	72/20670	8.030547063467534e-06	7	16	0.002668856341154193	94, 654, 1535, 1893, 3164, 3791, 5293, 6387, 6776, 7046, 7424, 8742, 8828, 8829, 25865, 441478
GO:0098609	BP	e	cell-cell adhesion	28/1302	180/20670	8.340071440124043e-06	3	28	0.002668856341154193	302, 596, 947, 1003, 1008, 1832, 2294, 3384, 3385, 3672, 3678, 3909, 4026, 5175, 6464, 8515, 9124, 9423, 10630, 22918, 27286, 50848, 55243, 55679, 64065, 64403, 90952, 91653
GO:0045087	BP	e	innate immune response	61/1302	538/20670	8.364736170442182e-06	6	61	0.002668856341154193	639, 684, 710, 715, 716, 720, 721, 837, 1535, 2242, 2268, 2852, 3140, 3426, 3428, 3430, 3556, 3654, 3665, 3718, 3958, 4615, 4940, 5293, 5371, 5919, 5966, 5971, 6279, 6280, 6283, 6737, 7097, 8542, 8764, 8915, 9830, 10346, 10392, 10475, 10865, 10892, 26472, 51191, 51279, 51296, 54625, 55601, 56658, 56829, 64135, 79671, 79792, 80216, 81035, 81622, 83666, 84166, 84282, 85363, 151636
GO:0048844	BP	e	artery morphogenesis	9/1302	24/20670	8.366320818665182e-06	5	9	0.002668856341154193	639, 2296, 2702, 3280, 3949, 4854, 5396, 7046, 8829
GO:0010628	BP	e	positive regulation of gene expression	56/1302	478/20670	8.855213039704808e-06	6	56	0.002754192635674188	639, 654, 947, 1003, 1265, 1490, 1512, 2053, 2113, 2296, 2615, 2852, 3280, 3303, 3304, 3397, 3553, 3576, 3949, 4609, 4615, 4783, 4846, 5074, 5080, 5293, 5359, 5873, 5916, 5971, 6556, 6608, 6774, 7040, 7046, 7097, 7122, 7157, 7476, 8503, 9314, 9647, 10266, 10268, 10891, 11117, 27303, 51176, 54567, 64115, 79366, 80149, 81031, 114897, 170302, 100506658
GO:0043280	BP	e	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	13/1302	50/20670	9.168451465082049e-06	12	13	0.002782065967733799	834, 1490, 2852, 3491, 4609, 5366, 8743, 8915, 9647, 10018, 10392, 10892, 64170
GO:0008219	BP	e	cell death	11/1302	37/20670	1.1069321650049083e-05	2	11	0.0032788912059109675	2012, 2013, 2014, 2355, 3162, 7042, 8313, 8737, 8915, 25865, 51776
GO:0034097	BP	e	response to cytokine	12/1302	44/20670	1.1861914000073937e-05	4	12	0.0034319551645330196	596, 1030, 3570, 4170, 5021, 5371, 5966, 5971, 7076, 7867, 9180, 9261
GO:0043542	BP	e	endothelial cell migration	10/1302	31/20670	1.24273371578313e-05	7	10	0.003477655363637177	1545, 4846, 5613, 5829, 7046, 8742, 8829, 11167, 25960, 196740
GO:0007179	BP	e	transforming growth factor beta receptor signaling pathway	18/1302	91/20670	1.2578931867508477e-05	8	18	0.003477655363637177	94, 1003, 1278, 2615, 2662, 3397, 4053, 4091, 4093, 5371, 5829, 6774, 7040, 7042, 7046, 7049, 7122, 7157
GO:0009615	BP	e	response to virus	20/1302	109/20670	1.376829741601524e-05	5	20	0.003723725829405339	602, 684, 2268, 3315, 3373, 3665, 4939, 4940, 6387, 8519, 8692, 9111, 10346, 10410, 10581, 11213, 55601, 56829, 64135, 388419
GO:0010942	BP	e	positive regulation of cell death	11/1302	38/20670	1.4696532848038258e-05	5	11	0.0038902035140945526	1490, 3250, 5625, 8309, 8313, 8644, 10268, 10392, 80149, 91607, 340485
GO:0045747	BP	e	positive regulation of Notch signaling pathway	12/1302	45/20670	1.5253911009294835e-05	7	12	0.003953623059721605	182, 429, 3280, 3955, 4242, 4846, 6774, 7042, 54567, 81619, 388585, 406913
GO:0003180	BP	e	aortic valve morphogenesis	10/1302	32/20670	1.7059352415521557e-05	4	10	0.004183228378507201	182, 2006, 4091, 4846, 6615, 7040, 7075, 11117, 26508, 54567
GO:0048010	BP	e	vascular endothelial growth factor receptor signaling pathway	9/1302	26/20670	1.7824101049183446e-05	8	9	0.004264416176017139	2296, 2321, 3791, 7410, 7424, 7867, 8829, 9261, 25865
GO:0000122	BP	e	negative regulation of transcription by RNA polymerase II	91/1302	922/20670	2.067013248599269e-05	11	91	0.004852021099211982	429, 604, 639, 654, 1017, 1051, 1263, 1488, 1601, 1906, 2004, 2114, 2120, 2294, 2296, 2307, 2354, 3007, 3009, 3096, 3280, 3337, 3397, 3428, 3481, 3665, 4487, 4609, 4783, 4854, 4855, 5074, 5080, 5396, 5465, 5916, 6239, 6256, 6608, 6615, 6665, 6672, 6774, 6926, 6934, 7026, 7050, 7071, 7157, 7538, 7704, 7764, 7832, 8462, 8531, 9096, 9208, 9314, 10062, 10365, 10865, 11023, 11107, 11278, 25959, 26508, 29842, 51085, 51176, 51222, 51339, 51548, 54345, 54531, 54567, 55079, 55502, 57817, 60436, 63976, 79759, 83666, 84662, 94234, 140685, 167465, 169792, 170302, 255877, 388585, 441478
GO:0007507	BP	e	heart development	29/1302	198/20670	2.1302925763529662e-05	4	29	0.004907957396742084	94, 133, 187, 429, 1026, 2057, 2064, 2294, 2296, 3764, 4313, 4776, 5021, 5125, 5465, 5606, 6464, 7040, 7042, 7046, 8572, 9124, 10266, 10758, 27295, 51196, 57545, 80114, 341640
GO:0009611	BP	e	response to wounding	14/1302	62/20670	2.4146534013343984e-05	3	14	0.005461945993818409	133, 1490, 1909, 2905, 3371, 3625, 3691, 4192, 4609, 5080, 7040, 7042, 7538, 10894
GO:0010718	BP	e	positive regulation of epithelial to mesenchymal transition	12/1302	48/20670	3.099417508562859e-05	6	12	0.006764886530531671	1601, 2296, 3553, 4192, 6615, 7040, 7042, 7046, 8313, 10630, 51176, 80139
GO:0003151	BP	e	outflow tract morphogenesis	12/1302	48/20670	3.099417508562859e-05	3	12	0.006764886530531671	2006, 2535, 2702, 3280, 6423, 6926, 7049, 7122, 8321, 9249, 26508, 54345
GO:0097192	BP	e	extrinsic apoptotic signaling pathway in absence of ligand	9/1302	28/20670	3.5131741034766264e-05	7	9	0.007535758451957364	355, 596, 597, 2139, 2872, 3553, 4170, 9531, 10018
GO:2001214	BP	e	positive regulation of vasculogenesis	6/1302	12/20670	4.102433509960536e-05	6	6	0.008599557099538385	133, 947, 3791, 6237, 10266, 51666
GO:1990830	BP	e	cellular response to leukemia inhibitory factor	18/1302	99/20670	4.147362960954129e-05	6	18	0.008599557099538385	587, 1488, 1491, 2731, 3383, 5080, 5371, 5916, 5990, 6470, 7424, 8322, 8828, 9021, 9314, 11107, 22904, 81848
GO:0010595	BP	e	positive regulation of endothelial cell migration	14/1302	65/20670	4.241810061615459e-05	9	14	0.00865120638959966	306, 1906, 2113, 3791, 5293, 6237, 7057, 7476, 8828, 8829, 25865, 25960, 80149, 84913
GO:0071347	BP	e	cellular response to interleukin-1	16/1302	82/20670	4.488379791818299e-05	6	16	0.009006440804840556	958, 1051, 1906, 2633, 2634, 2635, 3280, 3373, 3576, 3625, 4313, 4609, 6347, 8692, 10365, 80149
GO:0044344	BP	e	cellular response to fibroblast growth factor stimulus	9/1302	29/20670	4.810515758107327e-05	6	9	0.009499623261367184	3164, 3373, 3576, 4609, 6347, 7538, 8692, 54567, 442907
GO:0034341	BP	e	response to interferon-gamma	8/1302	23/20670	5.066230964588771e-05	5	8	0.009848278036007642	684, 958, 6556, 6672, 6737, 8519, 10410, 10581
GO:0001837	BP	e	epithelial to mesenchymal transition	11/1302	44/20670	6.605504360210244e-05	5	11	0.012642935345442407	2260, 2295, 4855, 6275, 6615, 7040, 7042, 7046, 7049, 51176, 84695
GO:0031663	BP	e	lipopolysaccharide-mediated signaling pathway	10/1302	37/20670	6.899521070089221e-05	6	10	0.013005597217118183	3553, 3654, 4615, 4792, 4846, 6347, 7040, 7097, 8915, 10892
GO:1990410	BP	e	adrenomedullin receptor signaling pathway	4/1302	5/20670	7.443646289382202e-05	7	4	0.013618588747971172	133, 10266, 10268, 199800
GO:0003158	BP	e	endothelium development	4/1302	5/20670	7.443646289382202e-05	5	4	0.013618588747971172	947, 2701, 2702, 3791
GO:0045892	BP	e	negative regulation of transcription, DNA-templated	59/1302	553/20670	8.109097005846086e-05	10	59	0.014454462679980002	429, 602, 604, 1052, 1488, 2004, 2122, 2295, 2307, 3280, 3397, 3428, 3659, 4783, 5371, 5971, 6423, 6464, 6926, 6934, 7026, 7040, 7071, 7090, 7157, 7704, 7764, 8321, 8994, 9314, 9647, 10346, 10865, 11107, 22809, 22904, 23090, 26508, 29969, 51085, 51176, 51222, 51655, 54345, 54625, 55553, 57616, 63976, 64855, 80139, 81606, 84456, 84662, 84695, 84875, 84913, 115677, 115950, 440498
GO:0008284	BP	e	positive regulation of cell population proliferation	55/1302	504/20670	8.140448841111118e-05	5	55	0.014454462679980002	133, 596, 654, 1017, 1440, 1490, 1512, 1903, 1906, 1908, 2013, 2057, 2064, 2260, 2321, 2852, 3280, 3371, 3481, 3553, 3570, 3597, 3791, 4041, 4609, 4828, 5745, 5916, 6320, 6423, 6464, 6926, 7040, 7042, 7046, 7057, 7076, 7122, 7424, 8644, 8741, 9180, 9423, 10312, 11138, 29923, 29950, 51085, 51176, 54795, 56034, 79366, 80139, 340485, 388585
GO:1902895	BP	e	positive regulation of miRNA transcription	11/1302	45/20670	8.249070414585484e-05	11	11	0.014454462679980002	2113, 4091, 4609, 4804, 6774, 7040, 7042, 7157, 8862, 9314, 84913
GO:0045765	BP	e	regulation of angiogenesis	9/1302	31/20670	8.636404474560952e-05	6	9	0.014922987231668445	1969, 2013, 2064, 2113, 3162, 6672, 10457, 23554, 25960
GO:0071560	BP	e	cellular response to transforming growth factor beta stimulus	13/1302	61/20670	8.879834947575907e-05	6	13	0.015133428299012583	94, 1030, 1284, 1601, 1906, 5139, 6660, 7040, 7046, 7123, 7476, 8692, 55553
GO:0001701	BP	e	in utero embryonic development	28/1302	200/20670	9.015290678173856e-05	7	28	0.015156652882048776	94, 1376, 1906, 1909, 2294, 2296, 3481, 4245, 4487, 4609, 4846, 5745, 6608, 6926, 7046, 7075, 7157, 8531, 9871, 10018, 10365, 23764, 54345, 60681, 64359, 79600, 79798, 157506
GO:0016064	BP	e	immunoglobulin mediated immune response	7/1302	19/20670	9.959362948471478e-05	6	7	0.016175570134456828	1439, 3566, 3665, 4615, 8915, 10312, 64170
GO:0042157	BP	e	lipoprotein metabolic process	7/1302	19/20670	9.959362948471478e-05	5	7	0.016175570134456828	5465, 8542, 23780, 80830, 80832, 80833, 81575
GO:0097084	BP	e	vascular associated smooth muscle cell development	5/1302	9/20670	0.00010011405034588664	5	5	0.016175570134456828	133, 1909, 3280, 10266, 30008
GO:0032757	BP	e	positive regulation of interleukin-8 production	13/1302	62/20670	0.00010595087194741039	8	13	0.01689916407561196	1116, 3303, 3304, 3553, 4615, 5054, 6774, 7097, 8692, 8737, 8915, 10392, 25865
GO:0006882	BP	e	cellular zinc ion homeostasis	9/1302	32/20670	0.00011348327218159582	10	9	0.017871460622927007	4489, 4494, 4495, 4499, 4501, 4502, 23516, 55532, 64116
GO:0042832	BP	e	defense response to protozoan	8/1302	26/20670	0.00013622658948463846	6	8	0.021184937497229838	602, 958, 2634, 3566, 4615, 6556, 115361, 283234
GO:0001666	BP	e	response to hypoxia	23/1302	154/20670	0.0001412100921001474	5	23	0.021688824145900416	94, 133, 285, 1535, 1909, 4313, 4323, 5327, 5352, 5371, 5465, 6387, 6649, 7042, 7049, 7057, 7097, 7424, 8994, 8996, 9124, 51129, 54541
GO:0032496	BP	e	response to lipopolysaccharide	20/1302	128/20670	0.00014641410762862952	5	20	0.022213876987899756	133, 249, 1439, 1906, 3164, 3553, 3587, 3654, 3764, 4091, 4846, 5106, 6279, 6280, 6556, 7056, 7867, 9261, 10221, 11213
GO:0060021	BP	e	roof of mouth development	13/1302	64/20670	0.00014897923838403588	3	13	0.022330731382358922	444, 2049, 2295, 4487, 5396, 6615, 6926, 7046, 7122, 9249, 11023, 64651, 84695
GO:0007249	BP	e	I-kappaB kinase/NF-kappaB signaling	11/1302	48/20670	0.00015427930638104315	6	11	0.02284986727007807	330, 602, 1906, 1909, 4792, 5966, 5971, 8915, 9755, 28511, 64170
GO:0090090	BP	e	negative regulation of canonical Wnt signaling pathway	21/1302	139/20670	0.00016460885327720777	8	21	0.024092926395549906	1601, 3485, 3487, 4163, 4192, 6423, 6934, 7090, 8313, 8321, 8322, 8323, 8994, 10076, 22881, 26524, 27303, 51339, 80114, 92162, 388336
GO:0097191	BP	e	extrinsic apoptotic signaling pathway	10/1302	41/20670	0.00017634066410349847	6	10	0.025123023082455415	355, 3570, 5371, 7040, 7042, 7133, 8737, 8742, 8797, 50486
GO:0046596	BP	e	regulation of viral entry into host cell	6/1302	15/20670	0.00018853490763956566	5	6	0.025123023082455415	5819, 6737, 9830, 10346, 10475, 85363
GO:0010273	BP	e	detoxification of copper ion	6/1302	15/20670	0.00018853490763956566	3	6	0.025123023082455415	4489, 4494, 4495, 4499, 4501, 4502
GO:0010811	BP	e	positive regulation of cell-substrate adhesion	9/1302	34/20670	0.00018931320043370084	6	9	0.025123023082455415	2199, 2294, 3491, 3678, 4811, 9647, 11117, 25890, 151887
GO:2000352	BP	e	negative regulation of endothelial cell apoptotic process	9/1302	34/20670	0.00018931320043370084	9	9	0.025123023082455415	1003, 3383, 3791, 5054, 7128, 10266, 51129, 79155, 406913
GO:0008015	BP	e	blood circulation	9/1302	34/20670	0.00018931320043370084	4	9	0.025123023082455415	94, 710, 1908, 2006, 2313, 6387, 11138, 26509, 54567
GO:0035456	BP	e	response to interferon-beta	5/1302	10/20670	0.0001898210891207145	5	5	0.025123023082455415	684, 5359, 8519, 10410, 10581
GO:0030214	BP	e	hyaluronan catabolic process	5/1302	10/20670	0.0001898210891207145	8	5	0.025123023082455415	3373, 7040, 8692, 23670, 57214
GO:0071421	BP	e	manganese ion transmembrane transport	5/1302	10/20670	0.0001898210891207145	9	5	0.025123023082455415	6556, 9914, 23516, 55532, 64116
GO:0035567	BP	e	non-canonical Wnt signaling pathway	7/1302	21/20670	0.00020559361942484102	8	7	0.026368971332623167	2535, 6423, 8321, 8322, 8323, 8324, 8325
GO:0061028	BP	e	establishment of endothelial barrier	7/1302	21/20670	0.00020559361942484102	6	7	0.026368971332623167	1909, 3383, 5144, 5175, 54345, 54538, 153562
GO:0002042	BP	e	cell migration involved in sprouting angiogenesis	7/1302	21/20670	0.00020559361942484102	9	7	0.026368971332623167	2050, 3164, 3791, 8503, 8829, 79812, 161198
