# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0042102	BP	e	positive regulation of T cell proliferation	11/220	61/20670	4.053113221108263e-11	9	11	4.584071053073446e-08	199, 942, 3071, 3109, 3113, 3115, 5788, 54440, 84433, 84868, 115650
GO:0007165	BP	e	signal transduction	38/220	1104/20670	1.3165862129833712e-10	4	38	1.3649707563105102e-07	140, 718, 920, 945, 963, 1436, 1441, 2209, 2357, 3123, 3635, 3683, 4067, 6195, 7096, 7305, 9535, 9938, 10333, 10859, 11027, 11035, 26281, 27181, 27306, 29108, 54360, 54518, 55843, 56944, 57413, 58191, 59307, 64333, 64926, 79705, 114548, 117289
GO:0032755	BP	e	positive regulation of interleukin-6 production	12/220	97/20670	5.037850499188034e-10	8	12	4.821222927722948e-07	199, 972, 3965, 5724, 6850, 7096, 7305, 10333, 11027, 29108, 51284, 64581
GO:0051056	BP	e	regulation of small GTPase mediated signal transduction	12/220	115/20670	3.6845752512548188e-09	7	12	3.274271478632943e-06	393, 1794, 23526, 23616, 50619, 51291, 55843, 64333, 81704, 117289, 221472, 257106
GO:0031663	BP	e	lipopolysaccharide-mediated signaling pathway	8/220	37/20670	4.292755540821287e-09	6	8	3.560411445557175e-06	929, 3055, 3606, 4067, 5724, 6348, 6688, 23643
GO:0032753	BP	e	positive regulation of interleukin-4 production	7/220	25/20670	5.744514219803344e-09	8	7	4.466718838035838e-06	942, 2207, 3965, 6850, 54440, 84868, 114548
GO:0150062	BP	e	complement-mediated synapse pruning	4/220	4/20670	1.2489561443253958e-08	7	4	9.140154936207206e-06	712, 718, 3684, 54209
GO:0032757	BP	e	positive regulation of interleukin-8 production	9/220	62/20670	1.851218971984782e-08	8	9	1.212158696340141e-05	929, 972, 3965, 6850, 7096, 11027, 29108, 51284, 64581
GO:0032731	BP	e	positive regulation of interleukin-1 beta production	9/220	62/20670	1.851218971984782e-08	9	9	1.212158696340141e-05	3965, 4332, 6348, 7305, 10333, 11027, 29108, 64581, 114548
GO:0030889	BP	e	negative regulation of B cell proliferation	6/220	18/20670	2.2656279182316527e-08	9	6	1.4093338465359996e-05	695, 3635, 4067, 4332, 7305, 11314
GO:0006935	BP	e	chemotaxis	11/220	113/20670	3.475015113273125e-08	3	11	2.0586982392490926e-05	719, 1230, 1240, 1524, 1794, 2357, 3071, 3965, 5724, 6348, 58191
GO:0002224	BP	e	toll-like receptor signaling pathway	6/220	21/20670	6.448134262749616e-08	7	6	3.646419925584908e-05	1520, 7096, 10333, 23643, 51284, 81793
GO:0001775	BP	e	cell activation	5/220	13/20670	1.56707990376868e-07	2	5	8.476539601211369e-05	6348, 6850, 7096, 10333, 64581
GO:0002862	BP	e	negative regulation of inflammatory response to antigenic stimulus	6/220	25/20670	2.0309034681881146e-07	8	6	0.00010527695853220139	3055, 3123, 4067, 6850, 54209, 79651
GO:0030890	BP	e	positive regulation of B cell proliferation	7/220	42/20670	2.7649192887888617e-07	9	7	0.0001375934434872889	972, 1880, 3071, 5788, 54440, 84433, 115650
GO:0042130	BP	e	negative regulation of T cell proliferation	7/220	43/20670	3.272864837280268e-07	9	7	0.00014816720834436668	942, 3123, 5777, 10859, 11006, 11326, 84868
GO:0032722	BP	e	positive regulation of chemokine production	7/220	43/20670	3.272864837280268e-07	8	7	0.00014816720834436668	199, 972, 1436, 3606, 29108, 51284, 84868
GO:0001774	BP	e	microglial cell activation	6/220	27/20670	3.3346851809679824e-07	6	6	0.00014816720834436668	199, 712, 3684, 3689, 10333, 54209
GO:1904141	BP	e	positive regulation of microglial cell migration	4/220	7/20670	4.2626405677650046e-07	10	4	0.0001828672803571187	1524, 6348, 54209, 64805
GO:1901224	BP	e	positive regulation of NIK/NF-kappaB signaling	8/220	67/20670	5.514255474833964e-07	8	8	0.00022867617454136447	929, 942, 3606, 3965, 7805, 51284, 54209, 84868
GO:0070374	BP	e	positive regulation of ERK1 and ERK2 cascade	13/220	218/20670	6.490258404401805e-07	9	13	0.0002604687251908479	920, 972, 1230, 1436, 1880, 3123, 3965, 5788, 6348, 26281, 29108, 54209, 84868
GO:0098883	BP	e	synapse pruning	4/220	8/20670	8.454063164866432e-07	6	4	0.0003187181813154645	712, 713, 714, 1524
GO:0002283	BP	e	neutrophil activation involved in immune response	4/220	8/20670	8.454063164866432e-07	7	4	0.0003187181813154645	2207, 6850, 7305, 11027
GO:0006952	BP	e	defense response	8/220	72/20670	9.66806478331373e-07	3	8	0.00035376586461531215	1441, 1536, 6039, 7454, 8832, 11024, 11027, 114548
GO:0006911	BP	e	phagocytosis, engulfment	9/220	99/20670	1.1239903645397691e-06	7	9	0.0003995304035782648	199, 2209, 3684, 3689, 9938, 23616, 51411, 54209, 64581
GO:0007155	BP	e	cell adhesion	19/220	485/20670	1.1783959482978442e-06	2	19	0.00039996175053459763	920, 945, 1230, 1441, 1524, 2350, 3055, 3683, 3684, 3687, 3689, 6402, 6404, 9473, 11314, 23166, 27181, 89790, 114132
GO:0150064	BP	e	vertebrate eye-specific patterning	3/220	3/20670	1.189501227375622e-06	4	3	0.00039996175053459763	712, 718, 3684
GO:0032930	BP	e	positive regulation of superoxide anion generation	5/220	19/20670	1.3439324153061388e-06	8	5	0.0004287144404826583	3684, 3689, 6850, 7305, 64581
GO:0050850	BP	e	positive regulation of calcium-mediated signaling	5/220	19/20670	1.3439324153061388e-06	8	5	0.0004287144404826583	920, 6348, 6850, 54209, 64581
GO:0032743	BP	e	positive regulation of interleukin-2 production	6/220	34/20670	1.4237391926455633e-06	8	6	0.0004428184823925863	920, 942, 5788, 54440, 64581, 84433
GO:0032720	BP	e	negative regulation of tumor necrosis factor production	8/220	77/20670	1.623966708242078e-06	9	8	0.000492774873591212	945, 3965, 5777, 10859, 11006, 23547, 54209, 84868
GO:0050853	BP	e	B cell receptor signaling pathway	9/220	111/20670	2.9386782896146383e-06	10	9	0.0008579598604399867	695, 3071, 4067, 4332, 5777, 5788, 6850, 7462, 29760
GO:0030225	BP	e	macrophage differentiation	5/220	22/20670	2.9653785064640646e-06	6	5	0.0008579598604399867	920, 1436, 3123, 6688, 139716
GO:0038095	BP	e	Fc-epsilon receptor signaling pathway	5/220	23/20670	3.756361725695917e-06	8	5	0.0010287646882355282	695, 2207, 4067, 6850, 23547
GO:0019221	BP	e	cytokine-mediated signaling pathway	10/220	146/20670	3.816451936781076e-06	6	10	0.0010287646882355282	1230, 1436, 1441, 3055, 3663, 5777, 10859, 11024, 11027, 23547
GO:0031295	BP	e	T cell costimulation	6/220	40/20670	3.85265058100968e-06	9	6	0.0010287646882355282	942, 4067, 5777, 84433, 115650, 126259
GO:0046598	BP	e	positive regulation of viral entry into host cell	4/220	11/20670	3.886499505431221e-06	6	4	0.0010287646882355282	920, 972, 3123, 3965
GO:0032733	BP	e	positive regulation of interleukin-10 production	6/220	41/20670	4.4732479121482206e-06	8	6	0.001108079078868496	3965, 6850, 29108, 54209, 54440, 64581
GO:0002282	BP	e	microglial cell activation involved in immune response	3/220	4/20670	4.7205362253862466e-06	7	3	0.001108079078868496	1524, 7305, 54209
GO:0002291	BP	e	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	3/220	4/20670	4.7205362253862466e-06	7	3	0.001108079078868496	3683, 10875, 54518
GO:0043315	BP	e	positive regulation of neutrophil degranulation	3/220	4/20670	4.7205362253862466e-06	11	3	0.001108079078868496	3684, 3689, 5724
GO:1904151	BP	e	positive regulation of microglial cell mediated cytotoxicity	3/220	4/20670	4.7205362253862466e-06	8	3	0.001108079078868496	3684, 6688, 7305
GO:0071226	BP	e	cellular response to molecule of fungal origin	3/220	4/20670	4.7205362253862466e-06	5	3	0.001108079078868496	695, 6850, 64581
GO:0050731	BP	e	positive regulation of peptidyl-tyrosine phosphorylation	8/220	89/20670	4.8863173787690876e-06	10	8	0.0011257532316530782	920, 972, 3059, 5788, 6850, 54209, 64581, 79705
GO:0032735	BP	e	positive regulation of interleukin-12 production	6/220	42/20670	5.172707242854482e-06	8	6	0.0011491723358634394	3394, 3663, 3965, 6850, 7805, 64581
GO:0032689	BP	e	negative regulation of interferon-gamma production	6/220	42/20670	5.172707242854482e-06	8	6	0.0011491723358634394	3123, 3965, 7805, 10859, 11006, 84868
GO:0010818	BP	e	T cell chemotaxis	4/220	12/20670	5.781110332483877e-06	9	4	0.0012400481663177917	1880, 5294, 6348, 58191
GO:0045579	BP	e	positive regulation of B cell differentiation	4/220	12/20670	5.781110332483877e-06	9	4	0.0012400481663177917	695, 3071, 3635, 6850
GO:0051092	BP	e	positive regulation of NF-kappaB transcription factor activity	10/220	154/20670	6.145210033470094e-06	12	10	0.0012958060682440923	695, 1524, 3606, 3965, 10333, 11035, 29108, 64581, 84433, 114548
GO:0002376	BP	e	immune system process	6/220	47/20670	1.012892485155822e-05	1	6	0.002100232567970597	3394, 3663, 4033, 4973, 10871, 11314
GO:0032703	BP	e	negative regulation of interleukin-2 production	5/220	28/20670	1.0505881268819374e-05	8	5	0.0021426830961538005	5788, 7805, 11006, 11326, 84868
GO:0035589	BP	e	G protein-coupled purinergic nucleotide receptor signaling pathway	4/220	14/20670	1.1496519366797768e-05	7	4	0.002240997730840038	2857, 5724, 53829, 64805
GO:0097028	BP	e	dendritic cell differentiation	4/220	14/20670	1.1496519366797768e-05	6	4	0.002240997730840038	3394, 4067, 10859, 54209
GO:0002774	BP	e	Fc receptor mediated inhibitory signaling pathway	3/220	5/20670	1.1708452094253073e-05	8	3	0.002240997730840038	4067, 10859, 11006
GO:0034154	BP	e	toll-like receptor 7 signaling pathway	3/220	5/20670	1.1708452094253073e-05	8	3	0.002240997730840038	51284, 84868, 118788
GO:0007159	BP	e	leukocyte cell-cell adhesion	5/220	29/20670	1.2585085078043429e-05	4	5	0.0023722885372111863	3683, 3689, 4973, 5788, 6850
GO:0030218	BP	e	erythrocyte differentiation	6/220	49/20670	1.2959468404470253e-05	5	6	0.0024063992002987225	3059, 3784, 4067, 6688, 6886, 10320
GO:0042110	BP	e	T cell activation	6/220	50/20670	1.4596797326395773e-05	5	6	0.0026705699343777915	920, 5294, 5788, 7454, 8832, 64581
GO:0071639	BP	e	positive regulation of monocyte chemotactic protein-1 production	4/220	15/20670	1.554639904394353e-05	9	4	0.002724123246559175	3965, 6850, 8832, 64581
GO:0033630	BP	e	positive regulation of cell adhesion mediated by integrin	4/220	15/20670	1.554639904394353e-05	6	4	0.002724123246559175	3071, 5777, 6850, 64805
GO:0034142	BP	e	toll-like receptor 4 signaling pathway	4/220	15/20670	1.554639904394353e-05	8	4	0.002724123246559175	929, 4067, 23643, 118788
GO:0007166	BP	e	cell surface receptor signaling pathway	13/220	292/20670	1.5974951360898372e-05	5	13	0.0027603384705685644	920, 929, 942, 1230, 2209, 2210, 2214, 5788, 10261, 11024, 23643, 58475, 284021
GO:0006968	BP	e	cellular defense response	6/220	53/20670	2.0535330095599298e-05	4	6	0.0034997265988952176	1524, 4332, 4688, 7305, 10871, 23643
GO:0030593	BP	e	neutrophil chemotaxis	7/220	79/20670	2.1287566625304136e-05	9	7	0.0035789002214244425	1441, 2207, 3071, 3689, 5294, 6348, 6850
GO:0050790	BP	e	regulation of catalytic activity	15/220	393/20670	2.2026547978453597e-05	3	15	0.0036537637786658826	241, 393, 397, 695, 1794, 4688, 4689, 7454, 27128, 50619, 63940, 64407, 117289, 255426, 257106
GO:0048678	BP	e	response to axon injury	5/220	33/20670	2.4295390638515452e-05	4	5	0.0039770915122864575	199, 4067, 7305, 54209, 64805
GO:0001516	BP	e	prostaglandin biosynthetic process	4/220	18/20670	3.398757448290641e-05	11	4	0.005491420962881021	972, 5742, 6916, 27306
GO:0045630	BP	e	positive regulation of T-helper 2 cell differentiation	3/220	7/20670	4.033749222326521e-05	13	3	0.0061955400092548445	942, 3606, 114548
GO:0045588	BP	e	positive regulation of gamma-delta T cell differentiation	3/220	7/20670	4.033749222326521e-05	10	3	0.0061955400092548445	3071, 5788, 6850
GO:0034136	BP	e	negative regulation of toll-like receptor 2 signaling pathway	3/220	7/20670	4.033749222326521e-05	9	3	0.0061955400092548445	4067, 10333, 54209
GO:0043305	BP	e	negative regulation of mast cell degranulation	3/220	7/20670	4.033749222326521e-05	11	3	0.0061955400092548445	3965, 8832, 11314
GO:0006959	BP	e	humoral immune response	6/220	60/20670	4.20924244830726e-05	3	6	0.006386242109681784	240, 1880, 3123, 5699, 29760, 54209
GO:0032088	BP	e	negative regulation of NF-kappaB transcription factor activity	7/220	90/20670	4.97054704003586e-05	12	7	0.007450430810251342	140, 1240, 6688, 29108, 57413, 84868, 114548
GO:0002755	BP	e	MyD88-dependent toll-like receptor signaling pathway	4/220	20/20670	5.2921577130539224e-05	8	4	0.007838063584298076	695, 7096, 10333, 81793
GO:0001934	BP	e	positive regulation of protein phosphorylation	10/220	198/20670	5.409494983367239e-05	9	10	0.007917591422126096	199, 718, 920, 972, 1436, 3123, 4067, 26281, 54209, 338773
GO:0006909	BP	e	phagocytosis	6/220	64/20670	6.084658139135111e-05	5	6	0.008773299197742683	929, 3394, 3683, 4688, 4689, 122618
GO:0007229	BP	e	integrin-mediated signaling pathway	7/220	93/20670	6.135174264155722e-05	6	7	0.008773299197742683	2533, 3055, 3683, 3684, 3687, 3689, 6850
GO:0031623	BP	e	receptor internalization	5/220	41/20670	7.158555735469037e-05	7	5	0.01012040817101935	2207, 3689, 6850, 10859, 11006
GO:0002223	BP	e	stimulatory C-type lectin receptor signaling pathway	4/220	22/20670	7.857751512189873e-05	11	4	0.010984077141927439	4067, 6850, 7305, 64581
GO:0032691	BP	e	negative regulation of interleukin-1 beta production	5/220	43/20670	9.037629520640442e-05	9	5	0.012493016540698638	945, 1524, 11006, 54209, 114548
GO:0032715	BP	e	negative regulation of interleukin-6 production	6/220	69/20670	9.308508656546589e-05	8	6	0.012612342222952795	3071, 3635, 5777, 8832, 11006, 84868
GO:2000249	BP	e	regulation of actin cytoskeleton reorganization	4/220	23/20670	9.432933689132682e-05	8	4	0.012612342222952795	397, 1436, 9535, 51225
GO:0050764	BP	e	regulation of phagocytosis	3/220	9/20670	9.529460404771022e-05	6	3	0.012612342222952795	3055, 5788, 6850
GO:0032682	BP	e	negative regulation of chemokine production	3/220	9/20670	9.529460404771022e-05	8	3	0.012612342222952795	3965, 11006, 59307
GO:0071222	BP	e	cellular response to lipopolysaccharide	9/220	174/20670	0.00010661769623800764	6	9	0.013621499512065866	929, 942, 1524, 3394, 10859, 23643, 29108, 84868, 114548
GO:0006898	BP	e	receptor-mediated endocytosis	6/220	71/20670	0.00010926356535496339	6	6	0.013621499512065866	929, 3684, 3689, 23166, 58191, 283420
GO:0045963	BP	e	negative regulation of dopamine metabolic process	2/220	2/20670	0.00011277344664759941	8	2	0.013621499512065866	3684, 3689
GO:1904139	BP	e	regulation of microglial cell migration	2/220	2/20670	0.00011277344664759941	9	2	0.013621499512065866	1524, 64805
GO:0110090	BP	e	positive regulation of hippocampal neuron apoptotic process	2/220	2/20670	0.00011277344664759941	9	2	0.013621499512065866	3684, 7305
GO:0002491	BP	e	antigen processing and presentation of endogenous peptide antigen via MHC class II	2/220	2/20670	0.00011277344664759941	5	2	0.013621499512065866	3122, 3123
GO:0002540	BP	e	leukotriene production involved in inflammatory response	2/220	2/20670	0.00011277344664759941	4	2	0.013621499512065866	240, 241
GO:1904093	BP	e	negative regulation of autophagic cell death	2/220	2/20670	0.00011277344664759941	7	2	0.013621499512065866	7805, 54209
GO:0002588	BP	e	positive regulation of antigen processing and presentation of peptide antigen via MHC class II	2/220	2/20670	0.00011277344664759941	7	2	0.013621499512065866	29108, 54209
GO:0045657	BP	e	positive regulation of monocyte differentiation	3/220	10/20670	0.00013506627353945211	9	3	0.016157302972156957	920, 972, 3123
GO:0050766	BP	e	positive regulation of phagocytosis	5/220	47/20670	0.00013913020631654003	7	5	0.016484941874134042	1794, 2207, 29108, 54209, 64581
GO:0045060	BP	e	negative thymic T cell selection	3/220	11/20670	0.00018425868880026056	4	3	0.020839657703309467	972, 1794, 5788
GO:0002357	BP	e	defense response to tumor cell	3/220	11/20670	0.00018425868880026056	4	3	0.020839657703309467	6688, 7805, 51225
GO:1900015	BP	e	regulation of cytokine production involved in inflammatory response	3/220	11/20670	0.00018425868880026056	7	3	0.020839657703309467	240, 54209, 122618
GO:0019370	BP	e	leukotriene biosynthetic process	3/220	11/20670	0.00018425868880026056	8	3	0.020839657703309467	240, 241, 6850
GO:0045059	BP	e	positive thymic T cell selection	3/220	11/20670	0.00018425868880026056	4	3	0.020839657703309467	972, 1794, 5788
GO:0014068	BP	e	positive regulation of phosphatidylinositol 3-kinase signaling	6/220	79/20670	0.0001976133479490125	8	6	0.02214871767417716	3059, 3606, 5777, 10870, 54209, 118788
GO:0019722	BP	e	calcium-mediated signaling	6/220	81/20670	0.0002266959069582739	7	6	0.02518146230774898	695, 1230, 1524, 6348, 7462, 64805
GO:0060907	BP	e	positive regulation of macrophage cytokine production	3/220	12/20670	0.00024375121496357939	10	3	0.026600954959314832	972, 7805, 10859
GO:0060100	BP	e	positive regulation of phagocytosis, engulfment	3/220	12/20670	0.00024375121496357939	8	3	0.026600954959314832	718, 3071, 54209
GO:0030316	BP	e	osteoclast differentiation	4/220	30/20670	0.0002753855616355896	6	4	0.029791928454855395	1436, 1880, 7305, 54209
GO:0051897	BP	e	positive regulation of protein kinase B signaling	7/220	119/20670	0.00028739972003692383	8	7	0.0307312219077638	1524, 3059, 3606, 5294, 6348, 23533, 64805
GO:0097242	BP	e	amyloid-beta clearance	3/220	13/20670	0.0003143923260380859	2	3	0.0307312219077638	718, 3684, 3689
GO:0034144	BP	e	negative regulation of toll-like receptor 4 signaling pathway	3/220	13/20670	0.0003143923260380859	9	3	0.0307312219077638	4067, 11027, 54209
GO:0002430	BP	e	complement receptor mediated signaling pathway	3/220	13/20670	0.0003143923260380859	9	3	0.0307312219077638	719, 1240, 2357
GO:0050732	BP	e	negative regulation of peptidyl-tyrosine phosphorylation	3/220	13/20670	0.0003143923260380859	10	3	0.0307312219077638	5777, 64092, 79705
GO:0032831	BP	e	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	2/220	3/20670	0.00033594133746932535	12	2	0.0307312219077638	3122, 3123
GO:1903615	BP	e	positive regulation of protein tyrosine phosphatase activity	2/220	3/20670	0.00033594133746932535	11	2	0.0307312219077638	945, 5788
GO:2000363	BP	e	positive regulation of prostaglandin-E synthase activity	2/220	3/20670	0.00033594133746932535	6	2	0.0307312219077638	3684, 3689
GO:0045058	BP	e	T cell selection	2/220	3/20670	0.00033594133746932535	2	2	0.0307312219077638	920, 972
GO:0071727	BP	e	cellular response to triacyl bacterial lipopeptide	2/220	3/20670	0.00033594133746932535	8	2	0.0307312219077638	929, 7096
GO:1905114	BP	e	cell surface receptor signaling pathway involved in cell-cell signaling	2/220	3/20670	0.00033594133746932535	6	2	0.0307312219077638	718, 3684
GO:0002553	BP	e	histamine secretion by mast cell	2/220	3/20670	0.00033594133746932535	9	2	0.0307312219077638	695, 4067
GO:0002469	BP	e	myeloid dendritic cell antigen processing and presentation	2/220	3/20670	0.00033594133746932535	4	2	0.0307312219077638	3122, 3123
GO:0001788	BP	e	antibody-dependent cellular cytotoxicity	2/220	3/20670	0.00033594133746932535	10	2	0.0307312219077638	2209, 2214
GO:0045622	BP	e	regulation of T-helper cell differentiation	2/220	3/20670	0.00033594133746932535	11	2	0.0307312219077638	3122, 3123
GO:0002519	BP	e	natural killer cell tolerance induction	2/220	3/20670	0.00033594133746932535	3	2	0.0307312219077638	3965, 84868
GO:2001190	BP	e	positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	2/220	3/20670	0.00033594133746932535	9	2	0.0307312219077638	3109, 3965
GO:2001189	BP	e	negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	2/220	3/20670	0.00033594133746932535	9	2	0.0307312219077638	10859, 84868
GO:0002431	BP	e	Fc receptor mediated stimulatory signaling pathway	2/220	3/20670	0.00033594133746932535	9	2	0.0307312219077638	2207, 4067
GO:0002277	BP	e	myeloid dendritic cell activation involved in immune response	2/220	3/20670	0.00033594133746932535	6	2	0.0307312219077638	1794, 29108
GO:0150102	BP	e	negative regulation of monocyte activation	2/220	3/20670	0.00033594133746932535	6	2	0.0307312219077638	945, 11006
GO:0051607	BP	e	defense response to virus	9/220	210/20670	0.0004325999701187022	7	9	0.03928449801639981	3663, 3687, 5788, 6039, 8673, 10859, 11035, 29108, 51284
GO:1901216	BP	e	positive regulation of neuron death	4/220	34/20670	0.00045076186848909655	6	4	0.040637162361397465	712, 3684, 3689, 7305
GO:0007169	BP	e	transmembrane receptor protein tyrosine kinase signaling pathway	7/220	129/20670	0.0004689574594332746	7	7	0.04197337951661417	920, 1436, 3055, 4067, 6503, 6850, 29760
GO:0032725	BP	e	positive regulation of granulocyte macrophage colony-stimulating factor production	3/220	15/20670	0.0004923637418685668	8	3	0.04344324335167971	3606, 6850, 11027
GO:2000406	BP	e	positive regulation of T cell migration	3/220	15/20670	0.0004923637418685668	11	3	0.04344324335167971	199, 29108, 81704
GO:0071346	BP	e	cellular response to interferon-gamma	6/220	94/20670	0.0005072544387379178	6	6	0.04413113617019885	199, 3113, 3394, 3965, 6348, 7454
GO:0050852	BP	e	T cell receptor signaling pathway	6/220	94/20670	0.0005072544387379178	10	6	0.04413113617019885	2533, 3115, 3123, 3635, 5788, 9473
GO:0007200	BP	e	phospholipase C-activating G protein-coupled receptor signaling pathway	5/220	63/20670	0.0005554602359260687	6	5	0.047989449966362646	719, 1240, 1524, 2357, 64805
GO:0005886	CC	e	plasma membrane	118/220	4778/20670	7.634456911878145e-23	3	118	1.3764925812116293e-19	140, 695, 718, 719, 920, 929, 942, 945, 963, 972, 999, 1230, 1240, 1436, 1441, 1524, 1536, 1794, 1880, 2207, 2209, 2210, 2214, 2350, 2357, 2533, 2769, 3055, 3059, 3071, 3099, 3111, 3113, 3115, 3117, 3122, 3123, 3635, 3683, 3684, 3687, 3689, 3784, 3903, 3936, 4033, 4067, 4542, 4973, 5294, 5724, 5788, 6001, 6402, 6404, 6518, 6850, 7096, 7305, 7454, 7462, 8673, 8832, 9056, 10161, 10257, 10287, 10333, 10859, 10863, 10870, 10871, 11006, 11024, 11027, 11314, 23166, 23533, 23547, 23643, 27128, 27181, 29760, 50619, 51284, 51291, 51393, 51411, 53829, 54209, 54518, 54947, 55803, 57121, 57413, 58191, 58475, 59307, 63940, 64407, 64581, 64805, 79651, 79895, 80342, 81793, 84433, 89790, 114132, 115650, 118788, 126259, 203328, 255426, 284759, 338773, 340205, 375387
GO:0042613	CC	e	MHC class II protein complex	9/220	17/20670	3.358969166334477e-14	5	9	3.0281107034505306e-11	972, 3108, 3109, 3111, 3113, 3115, 3117, 3122, 3123
GO:0009986	CC	e	cell surface	32/220	606/20670	7.387449770826397e-14	2	32	4.4398573122666646e-11	718, 942, 963, 972, 1436, 1524, 2207, 2350, 3108, 3113, 3115, 3122, 3123, 3683, 3684, 3687, 3689, 3784, 5788, 7305, 9388, 10870, 11006, 51393, 64581, 64805, 83483, 84868, 283420, 340205, 375387, 388512
GO:0005887	CC	e	integral component of plasma membrane	48/220	1427/20670	6.630983217572804e-13	4	48	2.79283730375907e-10	140, 719, 920, 945, 951, 963, 1230, 1240, 1436, 1441, 1524, 1536, 1880, 2207, 2209, 2210, 2214, 2857, 3071, 3113, 3117, 3122, 3123, 4033, 4973, 5724, 5788, 6402, 6404, 6518, 7096, 7305, 7805, 8832, 9056, 10161, 10261, 10333, 10871, 11027, 23166, 23547, 51393, 54209, 57413, 81793, 147138, 284021
GO:0070821	CC	e	tertiary granule membrane	13/220	73/20670	7.74497311081273e-13	7	13	2.79283730375907e-10	945, 963, 1536, 2207, 3684, 3687, 3689, 3903, 4973, 5724, 8673, 11314, 79895
GO:0035579	CC	e	specific granule membrane	12/220	91/20670	2.358028622019521e-10	7	12	7.08587600916866e-08	719, 945, 963, 1536, 3683, 3684, 3689, 3903, 4973, 6518, 8673, 79895
GO:0030669	CC	e	clathrin-coated endocytic vesicle membrane	10/220	70/20670	3.454976015121034e-09	8	10	8.899031078947463e-07	920, 972, 2209, 2210, 3113, 3115, 3117, 3122, 3123, 8673
GO:0009897	CC	e	external side of plasma membrane	21/220	421/20670	5.164030202018326e-09	3	21	1.1638433067798801e-06	920, 929, 942, 945, 972, 1230, 1441, 1524, 2207, 2214, 3123, 3683, 3684, 3687, 3689, 5788, 8832, 10859, 64581, 115650, 388512
GO:0030666	CC	e	endocytic vesicle membrane	9/220	71/20670	6.255656967847459e-08	6	9	1.2532166125587742e-05	972, 1441, 3113, 3115, 3117, 3122, 3123, 4067, 23166
